nom,line,mode,order,lat,lon,arrondissement,figure_historique,couleur,ouverte_apres_1980,rive_gauche,has_rer,has_tram
Ségur,10,METRO,11,48.847226390053955,2.3072520746428715,7,0,0,0,1,0,0
La Motte-Picquet - Grenelle,10,METRO,12,48.849532805857095,2.298684579816939,15,0,0,0,1,0,0
Avenue Émile Zola,10,METRO,13,48.84703801370517,2.2950189971435506,15,0,0,0,1,0,0
Charles Michels,10,METRO,14,48.84660453239739,2.2856210133667174,15,0,0,0,1,0,0
Javel - André Citroën,10,METRO,15,48.846086877931405,2.2780435059854063,15,0,0,0,1,0,0
Église d'Auteuil,10,METRO,16,48.84714336145718,2.2691113890218917,16,0,0,0,0,0,0
Michel-Ange - Auteuil,10,METRO,17,48.84797535417627,2.263989525333329,16,0,0,0,0,0,0
Porte d'Auteuil,10,METRO,18,48.84812886119474,2.2582639186231943,16,0,0,0,0,0,0
Michel-Ange - Molitor,10,METRO,19,48.84515597018703,2.2618218573220084,16,0,0,0,0,0,0
Chardon-Lagache,10,METRO,20,48.84508829917885,2.26690547594029,16,0,0,0,0,0,0
Mirabeau,10,METRO,21,48.84707750734599,2.2730641263728333,16,0,0,0,0,0,0
Boulogne Jean Jaurès,10,METRO,22,48.841991575324506,2.239077780728926,92,0,0,0,0,0,0
Boulogne Pont de Saint-Cloud,10,METRO,23,48.84067248206251,2.2283125898228056,92,0,0,0,0,0,0
Châtelet,11,METRO,1,48.8576887395772,2.347759259772123,4,0,0,1,0,0,0
Hôtel de Ville,11,METRO,2,48.85757442237991,2.35154698561547,4,0,0,0,0,0,0
Rambuteau,11,METRO,3,48.86119015695036,2.3532739485947713,4,0,0,0,0,0,0
Arts et Métiers,11,METRO,4,48.865380699169286,2.356535223129095,3,0,0,0,0,0,0
République,11,METRO,5,48.86794303120089,2.364804805140413,10,0,0,0,0,0,0
Goncourt,11,METRO,6,48.869936723164365,2.3710788377398995,11,0,0,0,0,0,0
Belleville,11,METRO,7,48.871908975367674,2.376753738418521,11,0,0,0,0,0,0
Pyrénées,11,METRO,8,48.87381879018058,2.3852029155695313,20,0,0,0,0,0,0
Jourdain,11,METRO,9,48.875247348641416,2.389325378910096,19,0,0,0,0,0,0
Place des Fêtes,11,METRO,10,48.87672366197325,2.393139370360497,19,0,0,0,0,0,0
Télégraphe,11,METRO,11,48.87551038418075,2.3986480899605933,19,0,0,0,0,0,0
Porte des Lilas,11,METRO,12,48.87723143067265,2.4065226763982275,19,0,0,0,0,0,1
Mairie des Lilas,11,METRO,13,48.879658467973904,2.4163499077398614,93,0,0,0,0,0,0
Serge Gainsbourg,11,METRO,14,48.88125303440166,2.4271621685895237,93,0,0,1,0,0,0
Romainville - Carnot,11,METRO,15,48.883574237927014,2.4406774445901713,93,0,0,1,0,0,0
Montreuil - Hôpital,11,METRO,16,48.878269829247664,2.4546692358364623,93,0,0,0,0,0,0
La Dhuys,11,METRO,17,48.87808331706366,2.4651563455784005,93,0,0,0,0,0,0
Coteaux Beauclair,11,METRO,18,48.88212212689498,2.4673647804495924,93,0,0,0,0,0,0
Rosny-Bois-Perrier,11,METRO,19,48.88302567942574,2.480609800808591,93,0,0,0,0,0,0
Mairie d'Aubervilliers,12,METRO,1,48.913739225808136,2.3807826993163266,93,0,0,1,0,0,0
Aimé Césaire,12,METRO,2,48.90838312983791,2.378035995881576,93,1,0,1,0,0,0
Front Populaire,12,METRO,3,48.906763048164294,2.365777177193171,93,0,0,1,0,0,0
Porte de la Chapelle,12,METRO,4,48.89741064164834,2.359103857300198,18,0,0,0,0,0,1
Marx Dormoy,12,METRO,5,48.89057957856722,2.359808478084024,18,1,0,0,0,0,0
Marcadet - Poissonniers,12,METRO,6,48.89154760285429,2.3500246218070155,18,0,0,0,0,0,0
Jules Joffrin,12,METRO,7,48.892492268201934,2.3443200293804827,18,1,0,0,0,0,0
Lamarck - Caulaincourt,12,METRO,8,48.88968180996681,2.3385838243831936,18,1,0,0,0,0,0
Abbesses,12,METRO,9,48.884392717991425,2.338394635220906,18,0,0,0,0,0,0
Pigalle,12,METRO,10,48.88202093206733,2.337211164701128,9,0,0,0,0,0,0
Saint-Georges,12,METRO,11,48.87841659490173,2.3375706403796697,9,0,0,0,0,0,0
Notre-Dame-de-Lorette,12,METRO,12,48.8760350312806,2.3378736192226386,9,0,0,0,0,0,0
Trinité - d'Estienne d'Orves,12,METRO,13,48.87633650730735,2.333049172418236,9,0,0,0,0,0,0
Saint-Lazare,12,METRO,14,48.875689121953926,2.3274477500193202,9,0,0,1,0,0,0
Madeleine,12,METRO,15,48.8700546880179,2.325039317039756,8,0,0,1,0,0,0
Concorde,12,METRO,16,48.8661808158217,2.323058362902906,8,0,0,0,0,0,0
Assemblée Nationale,12,METRO,17,48.861071939526084,2.320575836647556,7,0,0,0,1,0,0
Solférino,12,METRO,18,48.85853194972854,2.3230759642515415,7,0,0,0,1,0,0
Rue du Bac,12,METRO,19,48.85587553200213,2.3256727584985164,7,0,0,0,1,0,0
Sèvres - Babylone,12,METRO,20,48.85156530639137,2.326859663121737,7,0,0,0,1,0,0
Rennes,12,METRO,21,48.84819024311401,2.32802068556793,6,0,0,0,1,0,0
Notre-Dame-des-Champs,12,METRO,22,48.84508150807547,2.328564944227944,6,0,0,0,1,0,0
Montparnasse Bienvenue,12,METRO,23,48.84382361125447,2.323989185205003,15,0,0,0,1,0,0
Falguière,12,METRO,24,48.844317683534335,2.317551235617027,15,0,0,0,1,0,0
Pasteur,12,METRO,25,48.842958015471986,2.312554745666783,15,1,0,0,1,0,0
Volontaires,12,METRO,26,48.84141172841498,2.3079833805768515,15,0,0,0,1,0,0
Vaugirard,12,METRO,27,48.839437918076904,2.3010745156545456,15,0,0,0,1,0,0
Convention,12,METRO,28,48.83713505380496,2.2963913864809173,15,0,0,0,1,0,0
Porte de Versailles,12,METRO,29,48.83251953251351,2.2877417091423347,15,0,0,0,1,0,1
Corentin Celton,12,METRO,30,48.826823295159116,2.2789586605256367,92,0,0,0,1,0,0
Mairie d'Issy,12,METRO,31,48.82416442588802,2.273560674093182,92,0,0,0,1,0,0
Châtillon - Montrouge,13,METRO,1,48.81072820779425,2.301595459041787,92,0,0,0,1,0,1
Malakoff - Rue Étienne Dolet,13,METRO,2,48.81533836595972,2.2971240100835835,92,0,0,0,1,0,0
Malakoff - Plateau de Vanves,13,METRO,3,48.822296939865105,2.2981988359336536,92,0,0,0,1,0,0
Porte de Vanves,13,METRO,4,48.82741655532592,2.30472284886518,14,0,0,0,1,0,1
Plaisance,13,METRO,5,48.831768583640276,2.3139011181482863,14,0,0,0,1,0,0
Pernety,13,METRO,6,48.833833693000656,2.3180154545655687,14,0,0,0,1,0,0
Gaîté,13,METRO,7,48.838733160711186,2.3223929960897602,14,0,0,0,1,0,0
Montparnasse Bienvenue,13,METRO,8,48.84213471311308,2.32114972111642,15,0,0,0,1,0,0
Duroc,13,METRO,9,48.84781614379645,2.3159655624315945,7,0,0,0,1,0,0
Saint-François-Xavier,13,METRO,10,48.851935863654305,2.3145077830850114,7,0,0,0,1,0,0
Varenne,13,METRO,11,48.856390934075165,2.315076119079172,7,0,0,0,1,0,0
Invalides,13,METRO,12,48.859984252763695,2.3143609976098074,7,0,0,0,1,1,0
Champs-Élysées - Clemenceau,13,METRO,13,48.867374001020366,2.313854767904208,8,1,0,0,0,0,0
Miromesnil,13,METRO,14,48.873314219867474,2.3146490748635293,8,0,0,0,0,0,0
Saint-Lazare,13,METRO,15,48.87534949512342,2.3246298445298517,8,0,0,1,0,0,0
Liège,13,METRO,16,48.88012038230665,2.3270087300770395,8,0,0,0,0,0,0
Place de Clichy,13,METRO,17,48.88322415919443,2.327200436207035,9,0,0,0,0,0,0
La Fourche,13,METRO,18,48.88695758474682,2.325815743000763,17,0,0,0,0,0,0
Brochant,13,METRO,19,48.89062201554889,2.3201902468999456,17,0,0,0,0,0,0
Porte de Clichy,13,METRO,20,48.89438790877958,2.313485118020816,17,0,0,1,0,1,0
Mairie de Clichy,13,METRO,21,48.90397272890916,2.3053509844799085,92,0,0,1,0,0,0
Gabriel Péri,13,METRO,22,48.916588645063754,2.2943347306360344,92,1,0,1,1,0,0
Les Agnettes,13,METRO,23,48.92306137001542,2.286359092438265,92,0,0,1,1,0,0
Asnières - Gennevilliers - Les Courtilles,13,METRO,24,48.930736976137446,2.2841109387413856,92,0,0,0,0,0,0
Guy Môquet,13,METRO,25,48.89303779524127,2.3275509834873995,18,1,0,0,0,0,0
Porte de Saint-Ouen,13,METRO,26,48.897506218529124,2.328939112292642,17,0,0,0,0,0,1
Garibaldi,13,METRO,27,48.90524620047095,2.3315950289277687,93,0,0,0,0,0,0
Mairie de Saint-Ouen,13,METRO,28,48.911598579264364,2.3337919528049595,93,0,0,1,0,0,0
Carrefour Pleyel,13,METRO,29,48.919047802101,2.342470762618107,93,0,0,0,0,0,0
Saint-Denis - Porte de Paris,13,METRO,30,48.93000331459435,2.356103685447694,93,0,0,0,0,0,1
Basilique de Saint-Denis,13,METRO,31,48.93659371717278,2.359202621115829,93,0,0,0,0,0,1
Saint-Denis - Université,13,METRO,32,48.945875779628096,2.3645493372261845,93,0,0,0,0,0,0
Aéroport d'Orly,14,METRO,1,48.727660875887324,2.3625135570893536,91,0,0,1,1,0,1
Saint-Denis - Pleyel,14,METRO,2,48.91873375567987,2.345886129823062,93,0,0,0,0,0,0
Mairie de Saint-Ouen,14,METRO,3,48.91170451534923,2.333435858789529,93,0,0,1,0,0,0
Saint-Ouen,14,METRO,4,48.90521399238465,2.3226598821131716,93,0,0,1,0,1,0
L'Haÿ-les-Roses,14,METRO,5,48.77532646395088,2.354991210566311,94,0,1,1,1,0,0
Porte de Clichy,14,METRO,6,48.89428867785142,2.313431869544054,17,0,0,1,0,1,0
Pont Cardinet,14,METRO,7,48.88810340364297,2.3153681405051527,17,0,0,1,0,0,0
Saint-Lazare,14,METRO,8,48.875660854671985,2.3240258961246782,8,0,0,1,0,0,0
Madeleine,14,METRO,9,48.87054467671624,2.3258100487932776,8,0,0,1,0,0,0
Pyramides,14,METRO,10,48.86580563193237,2.3347388358754153,1,0,0,1,0,0,0
Châtelet,14,METRO,11,48.85951531585984,2.346275248188987,1,0,0,1,0,0,0
Thiais - Orly (Pont de Rungis),14,METRO,12,48.74684479207573,2.372466241689093,94,0,0,0,0,0,0
Chevilly-Larue (Marché International),14,METRO,13,48.758492915434516,2.3674425092258047,94,0,0,0,0,0,0
Villejuif - Gustave Roussy,14,METRO,14,48.79323843160607,2.349229361846555,94,0,0,0,1,0,0
Hôpital Bicêtre,14,METRO,15,48.80994448106093,2.350014950529505,94,0,0,1,1,0,0
Maison Blanche,14,METRO,16,48.82119024728473,2.358986576752596,13,0,1,1,1,0,0
Olympiades,14,METRO,17,48.827123441429386,2.3669231215308075,13,0,0,1,1,0,0
Bibliothèque François Mitterrand,14,METRO,18,48.830006377536904,2.3764237443204546,13,0,0,1,1,1,0
Bercy,14,METRO,19,48.84010199803391,2.3790620152277233,12,0,0,1,0,0,0
Gare de Lyon,14,METRO,20,48.8442498880687,2.372519782814122,12,0,0,1,0,1,0
Cour Saint-Emilion,14,METRO,21,48.83334999725014,2.386464909364189,12,0,0,0,0,0,0
Saint-Germain-en-Laye,A,RER,1,48.898745300550765,2.095041912326374,78,0,0,0,0,1,1
Le Vésinet - Le Pecq,A,RER,2,48.89794951079969,2.122132232303764,78,0,0,0,0,1,0
Le Vésinet - Centre,A,RER,3,48.89013759185911,2.1343339900216813,78,0,0,0,0,1,0
Chatou - Croissy,A,RER,4,48.88519702561107,2.1559376624708975,78,0,0,0,0,1,0
Rueil-Malmaison,A,RER,5,48.88767250064626,2.172366417897185,92,0,0,0,0,1,0
Nanterre Ville,A,RER,6,48.89501972616058,2.19511769490499,92,0,0,0,0,1,0
Nanterre Université,A,RER,7,48.90112974604822,2.213536495127317,92,0,0,0,0,1,0
Cergy le Haut,A,RER,8,49.04823262405815,2.011579068023536,95,0,0,0,0,1,0
Cergy Saint-Christophe,A,RER,9,49.049642166828754,2.0345219282999176,95,0,0,0,0,1,0
Cergy Préfecture,A,RER,10,49.036306683133965,2.0797809490013073,95,0,0,0,0,1,0
Neuville Université,A,RER,11,49.01374275942672,2.078348820578231,95,0,0,0,0,1,0
Conflans Fin d'Oise,A,RER,12,48.991156287258484,2.0746499245710193,78,0,0,0,0,1,0
Achères Ville,A,RER,13,48.970643570814424,2.0777265246565433,78,0,0,0,0,1,0
Poissy,A,RER,14,48.93324983956547,2.040804469960689,78,0,0,0,0,1,0
Achères Grand Cormier,A,RER,15,48.95541092942684,2.0936529195192275,78,0,0,0,0,1,0
Maisons-Laffitte,A,RER,16,48.94574060746957,2.1446722659338855,78,0,0,0,0,1,0
Sartrouville,A,RER,17,48.93769529363442,2.1572200388507317,78,0,0,0,0,1,0
Houilles - Carrières-sur-Seine,A,RER,18,48.92034757911033,2.1851757042018707,78,0,0,0,0,1,0
Nanterre Préfecture,A,RER,19,48.895886773064674,2.2229862429913676,92,0,0,0,0,1,0
La Défense,A,RER,20,48.892229801568206,2.238418596250407,92,0,0,1,1,1,0
Charles de Gaulle - Étoile,A,RER,21,48.874172759565376,2.295231447641207,17,1,0,0,0,1,0
Auber,A,RER,22,48.872348840718196,2.3296591495793595,9,0,0,0,0,1,0
Châtelet - Les Halles,A,RER,23,48.86174503191322,2.34697651043533,1,0,0,0,0,1,0
Gare de Lyon,A,RER,24,48.84340211646564,2.376365660931201,12,0,0,1,0,1,0
Nation,A,RER,25,48.84823319072756,2.3959444654495297,12,0,0,0,0,1,0
Vincennes,A,RER,26,48.84734683460296,2.4325836014183,94,0,0,0,0,1,0
Fontenay-sous-Bois,A,RER,27,48.8437885964859,2.463537806527943,94,0,0,0,0,1,0
Nogent-sur-Marne,A,RER,28,48.834306538503405,2.471683791180998,94,0,0,0,0,1,0
Joinville-le-Pont,A,RER,29,48.82119737360793,2.4638739495546496,94,0,0,0,0,1,0
Saint-Maur - Créteil,A,RER,30,48.80619648110731,2.4729094308778183,94,0,0,0,0,1,0
Le Parc de Saint-Maur,A,RER,31,48.8054097518155,2.486623744135692,94,0,0,0,0,1,0
Champigny,A,RER,32,48.80682309456137,2.510538043646919,94,0,0,0,0,1,0
La Varenne - Chennevières,A,RER,33,48.79532749459459,2.5132322873015256,94,0,0,0,0,1,0
Sucy - Bonneuil,A,RER,34,48.77206393780998,2.5074994611650823,94,0,0,0,0,1,0
Boissy-Saint-Léger,A,RER,35,48.752267307821874,2.504498176690716,94,0,0,0,0,1,0
Val de Fontenay,A,RER,36,48.85424654032024,2.4890536307751616,94,0,0,0,0,1,0
Neuilly-Plaisance,A,RER,37,48.85252451313788,2.5145898211367705,93,0,0,0,0,1,0
Bry-sur-Marne,A,RER,38,48.845137476280854,2.525670945020106,94,0,0,0,0,1,0
Noisy-le-Grand - Mont d'Est,A,RER,39,48.84088515401643,2.5488073205108335,93,0,0,0,0,1,0
Noisy - Champs,A,RER,40,48.84289619599068,2.580103342831972,93,0,0,0,0,1,0
Noisiel,A,RER,41,48.84351408493866,2.616660606000051,77,0,0,0,0,1,0
Lognes,A,RER,42,48.839255049438655,2.633026934567703,77,0,0,0,0,1,0
Torcy,A,RER,43,48.83971015133779,2.655169106193295,77,0,0,0,0,1,0
Bussy-Saint-Georges,A,RER,44,48.83671337078136,2.7103828395096956,77,0,0,0,0,1,0
Val d'Europe,A,RER,45,48.85484622851565,2.7724268942340276,77,0,0,0,0,1,0
Marne-la-Vallée Chessy,A,RER,46,48.86979506673141,2.7824826512673546,77,0,0,0,0,1,0
Aéroport Charles de Gaulle 2 (Terminal 2),B,RER,1,49.0041455478504,2.5709800477570233,93,0,0,0,0,1,0
Aéroport CDG 1 (Terminal 3) - RER,B,RER,2,49.00979397116337,2.5614121946317394,93,0,0,0,0,1,0
Parc des Expositions,B,RER,3,48.97356812654279,2.5145512908225953,93,0,0,0,0,1,0
Villepinte,B,RER,4,48.96256540760733,2.512783848981341,93,0,0,0,0,1,0
Sevran Beaudottes,B,RER,5,48.94700236504643,2.5247262164471342,93,0,0,0,0,1,0
Mitry - Claye,B,RER,6,48.9757479508066,2.6422341369736606,77,0,0,0,0,1,0
Villeparisis - Mitry-le-Neuf,B,RER,7,48.95316214687084,2.603220561532749,77,0,0,0,0,1,0
Vert Galant,B,RER,8,48.944091645418105,2.5663968806983126,93,0,0,0,0,1,0
Sevran - Livry,B,RER,9,48.93640164880271,2.5352889927291447,93,0,0,0,0,1,0
Aulnay-sous-Bois,B,RER,10,48.932150935734064,2.495597257086315,93,0,0,0,0,1,1
Le Blanc-Mesnil,B,RER,11,48.93230698220945,2.4753884360764298,93,0,0,0,0,1,0
Drancy,B,RER,12,48.932732553959134,2.454883180745302,93,0,0,0,0,1,0
Le Bourget,B,RER,13,48.930744340383264,2.425825637815098,93,0,0,0,0,1,1
La Courneuve - Aubervilliers,B,RER,14,48.92429743203911,2.3861140570949475,93,0,0,0,0,1,0
La Plaine Stade de France,B,RER,15,48.918076675621,2.362459916604931,93,0,0,0,0,1,0
Gare du Nord,B,RER,16,48.88230685842714,2.356693437528564,10,0,0,0,0,1,0
Châtelet - Les Halles,B,RER,17,48.86174503191322,2.34697651043533,1,0,0,0,0,1,0
Saint-Michel Notre-Dame,B,RER,18,48.853023793740164,2.344959780029387,5,0,0,0,1,1,0
Luxembourg,B,RER,19,48.84543177842458,2.3398088878203698,5,0,0,0,1,1,0
Port Royal,B,RER,20,48.840064350218256,2.3371383995944486,5,0,0,0,1,1,0
Denfert-Rochereau,B,RER,21,48.83318643678081,2.333220634641387,14,1,0,0,1,1,0
Cité Universitaire,B,RER,22,48.82150600684166,2.3388576809777035,14,0,0,0,1,1,1
Gentilly,B,RER,23,48.815228092611335,2.340926830790754,94,0,0,0,0,1,0
Laplace,B,RER,24,48.808360137202826,2.3343440158701894,94,0,0,0,0,1,0
Arcueil - Cachan,B,RER,25,48.79869767228883,2.328093276131277,94,0,0,0,0,1,0
Bagneux,B,RER,26,48.79333690627149,2.3220087047421583,94,0,0,0,0,1,0
Bourg-la-Reine,B,RER,27,48.78026436884244,2.312278311834309,92,0,0,0,0,1,0
Sceaux,B,RER,28,48.781307920937515,2.2979282159439305,92,0,0,0,0,1,0
Fontenay-aux-Roses,B,RER,29,48.78756698215643,2.2929083820455323,92,0,0,0,0,1,0
Robinson,B,RER,30,48.78023982792202,2.281364769669608,92,0,0,0,0,1,0
Parc de Sceaux,B,RER,31,48.769718949712896,2.309934691589042,92,0,0,0,0,1,0
La Croix de Berny,B,RER,32,48.76171816323692,2.3042107053612133,92,0,0,0,0,1,1
Antony,B,RER,33,48.754632057173126,2.300890371505836,92,0,0,0,0,1,0
Fontaine Michalon,B,RER,34,48.74304953436299,2.2959559818374013,92,0,0,0,0,1,0
Les Baconnets,B,RER,35,48.73984612871272,2.288108127151424,92,0,0,0,0,1,0
Massy - Verrières,B,RER,36,48.7349579552114,2.273978779055319,91,0,0,0,0,1,0
Massy - Palaiseau,B,RER,37,48.72551907437078,2.2587677282577334,91,0,0,0,0,1,1
Palaiseau,B,RER,38,48.71686524330362,2.24558429554376,91,0,0,0,0,1,0
Palaiseau - Villebon,B,RER,39,48.7081489333421,2.237329249708309,91,0,0,0,0,1,0
Lozère,B,RER,40,48.705912413627026,2.212717641845953,91,0,0,0,0,1,0
Le Guichet,B,RER,41,48.705497380193584,2.1929739951487424,91,0,0,0,0,1,0
Orsay Ville,B,RER,42,48.6975077019159,2.1808087044597166,91,0,0,0,0,1,0
Bures-sur-Yvette,B,RER,43,48.69621022314541,2.1643461393269345,91,0,0,0,0,1,0
La Hacquinière,B,RER,44,48.695299548452454,2.1516106103390045,91,0,0,0,0,1,0
Gif-sur-Yvette,B,RER,45,48.698175579920274,2.13649439862523,91,0,0,0,0,1,0
Courcelle-sur-Yvette,B,RER,46,48.70131367727702,2.097722386795541,91,0,0,0,0,1,0
Saint-Rémy-lès-Chevreuse,B,RER,47,48.702732696472715,2.071385742904064,78,0,0,0,0,1,0
Pontoise,C,RER,1,49.04673337596684,2.0957859968423524,95,0,0,0,0,1,0
Saint-Ouen-l'Aumône,C,RER,2,49.04530690087292,2.105230857870794,95,0,0,0,0,1,0
Saint-Ouen-l'Aumône Liesse,C,RER,3,49.0341234164973,2.128124092657316,95,0,0,0,0,1,0
Pierrelaye,C,RER,4,49.01917957374756,2.1545313948758564,95,0,0,0,0,1,0
Montigny - Beauchamp,C,RER,5,49.007744118117,2.1965151756043033,95,0,0,0,0,1,0
Franconville - Le Plessis-Bouchard,C,RER,6,48.99374640051787,2.2341907839306554,95,0,0,0,0,1,0
Cernay,C,RER,7,48.985149200200375,2.257017857907824,95,0,0,0,0,1,0
Ermont - Eaubonne,C,RER,8,48.98049890628609,2.2707541014797794,95,0,0,0,0,1,0
Saint-Gratien,C,RER,9,48.963658273529425,2.285777828585351,95,0,0,0,0,1,0
Épinay-sur-Seine,C,RER,10,48.95382604164122,2.302388375122374,93,0,0,0,0,1,1
Gennevilliers,C,RER,11,48.93282405536431,2.307982254553742,92,0,0,0,0,1,0
Les Grésillons,C,RER,12,48.9206901983449,2.313901968217972,92,0,0,0,0,1,0
Saint-Ouen,C,RER,13,48.90456082213364,2.322694729473372,93,0,0,1,0,1,0
Porte de Clichy,C,RER,14,48.894262568309564,2.3159411535514716,17,0,0,1,0,1,0
Péreire Levallois,C,RER,15,48.88602700780433,2.2992286819828145,17,0,0,0,0,1,0
Neuilly - Porte Maillot,C,RER,16,48.878347804048644,2.284217509613705,17,0,0,0,0,1,0
Avenue Foch,C,RER,17,48.86985281215763,2.2747712644338454,16,0,0,0,0,1,0
Avenue Henri Martin,C,RER,18,48.86545537297977,2.2722351438875577,16,0,0,0,0,1,0
Boulainvilliers,C,RER,19,48.856981095562965,2.274806827480264,16,0,0,0,0,1,0
Avenue du Président Kennedy Maison de Radio France,C,RER,20,48.85352548506894,2.279679454187814,16,0,0,0,0,1,0
Versailles Château Rive Gauche,C,RER,21,48.79991350059487,2.130150772175517,78,0,0,0,0,1,0
Porchefontaine,C,RER,22,48.79654475986442,2.1522340489858127,78,0,0,0,0,1,0
Viroflay Rive Gauche,C,RER,23,48.800665521455045,2.17158260741522,78,0,0,0,0,1,0
Chaville - Vélizy,C,RER,24,48.79968116446791,2.1834187943404744,78,0,0,0,0,1,0
Meudon Val Fleury,C,RER,25,48.807552358196936,2.2409419171683633,92,0,0,0,0,1,0
Issy,C,RER,26,48.81933737870203,2.257883547622023,92,0,0,0,0,1,0
Issy - Val de Seine,C,RER,27,48.83050964570215,2.2640113460455353,92,0,0,0,0,1,1
Pont du Garigliano - Hôpital Européen G. Pompidou,C,RER,28,48.83888336270874,2.2704701876900395,15,0,0,0,1,1,0
Javel,C,RER,29,48.84716158046345,2.27803679359566,15,0,0,0,1,1,0
Champ de Mars Tour Eiffel,C,RER,30,48.8564765666592,2.2896562493865478,15,0,0,0,1,1,0
Pont de l'Alma,C,RER,31,48.86247496310803,2.3003592740110994,7,0,0,0,1,1,0
Invalides,C,RER,32,48.8627130056211,2.3126576509104404,7,0,0,0,1,1,0
Musée d'Orsay,C,RER,33,48.860365575927474,2.326623034830927,7,0,0,0,1,1,0
Saint-Michel Notre-Dame,C,RER,34,48.853023793740164,2.344959780029387,5,0,0,0,1,1,0
Gare d'Austerlitz,C,RER,35,48.84032035638395,2.367818767583529,13,0,0,0,1,1,0
Bibliothèque François Mitterrand,C,RER,36,48.8288801225864,2.377758552865005,13,0,0,1,1,1,0
Ivry-sur-Seine,C,RER,37,48.8139591342409,2.391677280020743,94,0,0,0,0,1,0
Vitry-sur-Seine,C,RER,38,48.80028105254759,2.40269438767449,94,0,0,0,0,1,0
Les Ardoines,C,RER,39,48.78248922625494,2.409587305033223,94,0,0,0,0,1,0
Choisy-le-Roi,C,RER,40,48.76387977763339,2.411287538155699,94,0,0,0,0,1,0
Les Saules,C,RER,41,48.74520105223681,2.4174549898851208,94,0,0,0,0,1,1
Orly Ville,C,RER,42,48.74163230680523,2.4030548924063897,94,0,0,0,0,1,0
Pont de Rungis Aéroport d'Orly,C,RER,43,48.74834625868034,2.373209854795934,94,0,0,0,0,1,0
Rungis la Fraternelle,C,RER,44,48.74021613668418,2.3521980873905326,94,0,0,0,0,1,0
Chemin d'Antony,C,RER,45,48.747936542587276,2.3126496863919335,92,0,0,0,0,1,0
Massy - Verrières,C,RER,46,48.7349579552114,2.273978779055319,91,0,0,0,0,1,0
Massy - Palaiseau,C,RER,47,48.72551907437078,2.2587677282577334,91,0,0,0,0,1,1
Versailles Chantiers,C,RER,48,48.79526039893613,2.1349078603373464,78,0,0,0,0,1,0
Saint-Cyr,C,RER,49,48.79877460471833,2.072712440765476,78,0,0,0,0,1,1
Saint-Quentin en Yvelines - Montigny-le-Bretonneux,C,RER,50,48.78748491597792,2.044615988930814,78,0,0,0,0,1,0
Villeneuve-le-Roi,C,RER,51,48.73968685807613,2.426423645047488,94,0,0,0,0,1,0
Ablon,C,RER,52,48.72578126379895,2.4198671478914595,94,0,0,0,0,1,0
Athis-Mons,C,RER,53,48.71266832171659,2.403668724287269,91,0,0,0,0,1,0
Juvisy,C,RER,54,48.68970940912314,2.383334629403869,91,0,0,0,0,1,0
Savigny-sur-Orge,C,RER,55,48.67639468866699,2.3523541804056833,91,0,0,0,0,1,0
Épinay-sur-Orge,C,RER,56,48.6693475106473,2.332043500451718,91,0,0,0,0,1,1
Sainte-Geneviève-des-Bois,C,RER,57,48.65295347339147,2.3129608959702024,91,0,0,0,0,1,0
Saint-Michel-sur-Orge,C,RER,58,48.635615525211605,2.3068029676156123,91,0,0,0,0,1,0
Brétigny,C,RER,59,48.60664906621052,2.3019573828860596,91,0,0,0,0,1,0
La Norville - Saint-Germain-lès-Arpajon,C,RER,60,48.59111916474817,2.266215906699314,91,0,0,0,0,1,0
Arpajon,C,RER,61,48.58599680822646,2.2412169696111426,91,0,0,0,0,1,0
Égly,C,RER,62,48.582715781664064,2.2234625238542307,91,0,0,0,0,1,0
Breuillet - Bruyères-le-Châtel,C,RER,63,48.57760979436327,2.1922487394356454,91,0,0,0,0,1,0
Breuillet Village,C,RER,64,48.56433413404574,2.170354257290333,91,0,0,0,0,1,0
Saint-Chéron,C,RER,65,48.550937745357075,2.1249767315730463,91,0,0,0,0,1,0
Sermaise,C,RER,66,48.535687624993614,2.069088468619773,91,0,0,0,0,1,0
Dourdan,C,RER,67,48.53376051220457,2.008756915662106,91,0,0,0,0,1,0
Dourdan la Forêt,C,RER,68,48.53542058733677,1.996005688002604,91,0,0,0,0,1,0
Marolles-en-Hurepoix,C,RER,69,48.56564453550255,2.290908349251896,91,0,0,0,0,1,0
Bouray,C,RER,70,48.53290340283496,2.2900778137432436,91,0,0,0,0,1,0
Lardy,C,RER,71,48.520620553497956,2.255014220399748,91,0,0,0,0,1,0
Gare de Chamarande,C,RER,72,48.51405318948937,2.2151562718541644,91,0,0,0,0,1,0
Étréchy,C,RER,73,48.49387742150091,2.1947692381982216,91,0,0,0,0,1,0
Étampes,C,RER,74,48.437062675829104,2.159819133907717,91,0,0,0,0,1,0
Saint-Martin d'Étampes,C,RER,75,48.42748765080825,2.145258831307165,91,0,0,0,0,1,0
Creil,D,RER,1,49.264185555044406,2.46892902764167,60,0,0,0,0,1,0
Chantilly - Gouvieux,D,RER,2,49.187030004663995,2.4595159140085237,60,0,0,0,0,1,0
Orry-la-Ville - Coye,D,RER,3,49.13840546145438,2.489862086302069,60,0,0,0,0,1,0
La Borne Blanche (Gare),D,RER,4,49.1261949449139,2.5069908684194053,60,0,0,0,0,1,0
Survilliers - Fosses,D,RER,5,49.09951161811565,2.525517836696695,95,0,0,0,0,1,0
Louvres,D,RER,6,49.04933726826723,2.5018113143714777,95,0,0,0,0,1,0
