nom,line,mode,order,lat,lon,arrondissement,figure_historique,couleur,ouverte_apres_1980,rive_gauche,has_rer,has_tram
Temple,3,METRO,18,48.86668483219092,2.3615893783321895,3,0,0,0,0,0,0
République,3,METRO,19,48.86712186124499,2.364283168306328,3,0,0,0,0,0,0
Parmentier,3,METRO,20,48.865162111168765,2.3746806763746613,11,1,0,0,0,0,0
Rue Saint-Maur,3,METRO,21,48.86413108020325,2.380486332251813,11,0,0,0,0,0,0
Père Lachaise,3,METRO,22,48.86304099836643,2.3862311113287342,11,0,0,0,0,0,0
Gambetta,3,METRO,23,48.86488271295642,2.397353102563538,20,1,0,0,0,0,0
Porte de Bagnolet,3,METRO,24,48.86453937293447,2.4087542211895427,20,0,0,0,0,0,1
Gallieni,3,METRO,25,48.86512770051251,2.4159299613832097,93,1,0,0,0,0,0
Gambetta,3B,METRO,1,48.865032564464,2.398537305704572,20,1,0,0,0,0,0
Pelleport,3B,METRO,2,48.86846488701483,2.4014967922879253,20,0,0,0,0,0,0
Saint-Fargeau,3B,METRO,3,48.87184337222297,2.4044981831688688,20,0,0,0,0,1,0
Porte des Lilas,3B,METRO,4,48.87663999703494,2.4069512666209,20,0,0,0,0,0,1
Porte de Clignancourt,4,METRO,1,48.897525631278015,2.344624099102791,18,0,0,0,0,0,1
Simplon,4,METRO,2,48.8938152613519,2.347794968187123,18,0,0,0,0,0,0
Marcadet - Poissonniers,4,METRO,3,48.891280439844486,2.3496815417224775,18,0,0,0,0,0,0
Château Rouge,4,METRO,4,48.88707887746752,2.3493658080048405,18,0,1,0,0,0,0
Barbès - Rochechouart,4,METRO,5,48.883402060486226,2.349629927853002,10,1,0,0,0,0,0
Gare du Nord,4,METRO,6,48.87959170741013,2.356808788205409,10,0,0,0,0,1,0
Gare de l'Est,4,METRO,7,48.876283511884786,2.3578981321043053,10,0,0,0,0,1,0
Château d'Eau,4,METRO,8,48.87247308911766,2.3559014497805357,10,0,0,0,0,0,0
Strasbourg - Saint-Denis,4,METRO,9,48.86962358263758,2.354491616563834,10,0,0,0,0,0,0
Réaumur - Sébastopol,4,METRO,10,48.866077771215046,2.352381731140252,2,0,0,0,0,0,0
Etienne Marcel,4,METRO,11,48.86370301202431,2.3489761968791085,1,0,0,0,0,0,0
Les Halles,4,METRO,12,48.86252665962869,2.34600573656331,1,0,0,0,0,0,0
Châtelet,4,METRO,13,48.859661211559086,2.3466414308440138,1,0,0,1,0,0,0
Cité,4,METRO,14,48.85492106147581,2.347361051762225,4,0,0,0,0,0,0
Saint-Michel,4,METRO,15,48.85358493521485,2.343964657062377,6,0,0,0,1,0,0
Odéon,4,METRO,16,48.852175453081486,2.3395157696170745,6,0,0,0,1,0,0
Saint-Germain-des-Prés,4,METRO,17,48.85367371343323,2.3339874291342255,6,0,0,0,1,0,0
Saint-Sulpice,4,METRO,18,48.85120862756671,2.330611953081543,6,0,0,0,1,0,0
Saint-Placide,4,METRO,19,48.847041473609366,2.3268499626718526,6,0,0,0,1,0,0
Montparnasse Bienvenue,4,METRO,20,48.84391578859517,2.3243858698057784,6,0,0,0,1,0,0
Vavin,4,METRO,21,48.84205232329236,2.3288628540691043,14,0,0,0,1,0,0
Raspail,4,METRO,22,48.83910415024143,2.3307802165662403,14,1,0,0,1,0,0
Denfert-Rochereau,4,METRO,23,48.83392232305997,2.3321281604376116,14,1,0,0,1,1,0
Mouton-Duvernet,4,METRO,24,48.83133758557153,2.329887640408421,14,0,0,0,1,0,0
Alésia,4,METRO,25,48.82820106421924,2.3270932349484528,14,0,0,0,1,0,0
Porte d'Orléans,4,METRO,26,48.823394602620716,2.325623760353114,14,0,0,0,1,0,1
Mairie de Montrouge,4,METRO,27,48.818454456190004,2.3196193991237846,92,0,0,1,1,0,0
Barbara,4,METRO,28,48.8097987811254,2.3174174096489284,92,0,0,1,1,0,0
