nom,lines,lat,lon,arrondissement,figure_historique,couleur,ouverte_apres_1980,rive_gauche,has_rer
Saint-Germain-des-Prés,4,48.853889,2.333333,1,0,0,0,0,0
Saint-Michel,4 B C,48.853611,2.343889,1,0,0,0,0,1
Saint-Placide,4,48.846844,2.326914,1,0,0,0,0,0
Saint-Sulpice,4,48.850909,2.330652,1,0,0,0,0,0
Simplon,4,48.893333,2.348333,1,0,0,0,0,0
Strasbourg - Saint-Denis,4 8 9,48.869722,2.353889,1,0,0,0,0,0
Vavin,4,48.842233,2.32895,1,0,0,0,0,0
Bobigny - Pablo Picasso,5,48.906538,2.449994,93,0,0,1,0,0
Bobigny - Pantin - Raymond Queneau,5,48.895,2.425,93,0,0,1,0,0
Bréguet - Sabin,5,8.856,2.37,-1,0,0,0,0,0
Campo Formio,5,48.835,2.358,1,0,0,0,0,0
Église de Pantin,5,48.894,2.413,93,0,0,0,0,0
Gare d'Austerlitz,5 10 C,48.842626,2.364971,1,0,0,0,0,1
Hoche,5,48.891,2.403,93,1,0,0,0,0
Jacques Bonsergent,5,48.871,2.361,1,1,0,0,0,0
Laumière,5,48.885,2.379,1,0,0,0,0,0
Oberkampf,5 9,48.8635,2.37025,1,0,0,0,0,0
Ourcq,5,48.887,2.386,1,0,0,0,0,0
Place d'Italie,5 6 7,48.831483,2.355692,1,0,0,0,0,0
Porte de Pantin,5,48.88971,2.39629,1,0,0,0,0,0
Quai de la Rapée,5,48.846,2.366,1,0,0,0,0,0
Richard-Lenoir,5,48.86,2.372,1,0,0,0,0,0
Saint-Marcel,5,48.838,2.36,1,0,0,0,0,0
Bel-Air,6,48.841344,2.400912,1,0,0,0,0,0
Bercy,6 14,48.83993,2.380418,1,0,0,1,0,0
Bir-Hakeim,6 C,48.853917,2.289332,1,0,0,0,0,1
Boissière,6,48.867386,2.290392,1,0,0,0,0,0
Cambronne,6,48.847537,2.302937,1,0,0,0,0,0
Chevaleret,6,48.834938,2.368082,1,0,0,0,0,0
Corvisart,6,48.829807,2.350508,1,0,0,0,0,0
Daumesnil,6 8,48.839644,2.395792,1,1,0,0,0,0
Dugommier,6,48.83905,2.389964,1,0,0,0,0,0
Dupleix,6,48.850392,2.293611,1,0,0,0,0,0
Edgar Quinet,6,48.841048,2.325084,1,0,0,0,0,0
Glacière,6,48.83115,2.343384,1,0,0,0,0,0
Kléber,6,48.871138,2.293118,1,0,0,0,0,0
La Motte-Picquet - Grenelle,6 8 10,48.849143,2.29809,1,0,0,0,0,0
Nationale,6,48.833183,2.362718,1,0,0,0,0,0
Passy,6,48.857445,2.285779,1,0,0,0,0,0
Pasteur,6 12,48.842836,2.312681,1,1,0,0,0,0
Picpus,6,48.84515,2.400494,1,0,0,0,0,0
Quai de la Gare,6,48.837069,2.372773,1,0,0,0,0,0
Saint-Jacques,6,48.832913,2.337081,1,0,0,0,0,0
Sèvres - Lecourbe,6,48.845634,2.309476,1,0,0,0,0,0
Trocadéro,6 9,48.863301,2.287061,1,0,0,0,0,0
Aubervilliers - Pantin - Quatre Chemins,7,48.9039,2.3925,93,0,0,0,0,0
Cadet,7,48.876135,2.344876,1,0,0,0,0,0
Censier - Daubenton,7,48.840597,2.351774,1,0,0,0,0,0
Château-Landon,7,48.87846,2.362071,1,0,0,0,0,0
Chaussée d'Antin - La Fayette,7 9,48.87307,2.33393,1,0,0,0,0,0
Corentin Cariou,7,48.89434,2.381745,1,0,0,0,0,0
